127.0.0.1 - - [23/Jun/2023:15:18:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:18:35 +0900] "GET /MySNS/main.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:18:35 +0900] "GET /MySNS/login.html HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:18:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:18:53 +0900] "GET /MySNS2/main.html HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:18:53 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:19:09 +0900] "POST /MySNS2/jsp/login.jsp?id=kim@abc.com&ps=111 HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:19:09 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:19:09 +0900] "POST /MySNS2/jsp/friendList.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:19:09 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:23:53 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:23:53 +0900] "POST /MySNS2/jsp/friendList.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:23:53 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:24:03 +0900] "GET /MySNS2/main.html HTTP/1.1" 200 3599
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:24:03 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:24:03 +0900] "POST /MySNS2/jsp/friendList.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:24:03 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:24:03 +0900] "GET /MySNS2/main.html HTTP/1.1" 304 -
