127.0.0.1 - - [10/Dec/2022:22:49:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:49:28 +0900] "GET /MySNS2/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:49:28 +0900] "GET /MySNS2/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:49:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:49:29 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:49:46 +0900] "POST /MySNS2/jsp/login.jsp?id=kim@abc.com&ps=111 HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:49:46 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:49:46 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:49:51 +0900] "GET /MySNS2/feedAdd.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:49:51 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:50:09 +0900] "POST /MySNS2/jsp/feedAdd.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:50:11 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:50:11 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:50:13 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:50:17 +0900] "GET /MySNS2/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:50:17 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:50:17 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:50:17 +0900] "GET /MySNS2/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:50:17 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:50:17 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:50:17 +0900] "GET /MySNS2/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:50:17 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:50:17 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:58:10 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [10/Dec/2022:22:58:52 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [10/Dec/2022:23:06:21 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [10/Dec/2022:23:26:58 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [10/Dec/2022:23:26:58 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [10/Dec/2022:23:26:59 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [10/Dec/2022:23:27:01 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [10/Dec/2022:23:27:10 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [10/Dec/2022:23:27:10 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [10/Dec/2022:23:27:12 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [10/Dec/2022:23:39:38 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [10/Dec/2022:23:39:38 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [10/Dec/2022:23:39:39 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [10/Dec/2022:23:39:41 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
